dataset,model,image_id,ref_id,clean_eligible,clean_correct,reference_successes,reference_trials,reference_mean,lower_95,upper_95,interval_width
refl4,yoloworld,312050,29535,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1002039610,964,1,0,20,80,0.25,0.1598796445068557,0.35936347590685,0.19948383139999432
refl4,yoloworld,493851,25346,1,0,56,80,0.7,0.5872406769186242,0.7974260708533272,0.21018539393470292
refl4,yoloworld,141121,31425,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,25515,23308,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000041750,15421,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001136640,15154,1,0,79,80,0.9875,0.9323122155360776,0.9996835774723672,0.06737136193628968
refl4,yoloworld,9218,33959,1,1,41,80,0.5125,0.39810466870318556,0.625942518555561,0.22783784985237548
refl4,yoloworld,556783,40521,1,0,51,80,0.6375,0.5223872787351916,0.7421051046283819,0.21971782589319022
refl4,yoloworld,1001248772,3276,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001470541,11425,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,551524,21828,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001369145,4669,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,1001857549,5618,1,0,46,80,0.575,0.45938881143093807,0.6848902345476577,0.22550142311671967
refl4,yoloworld,519477,18039,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1000022720,9277,1,0,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
