dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,full_manifest,21,40,0.8542000000000001,0.8565499999999999,-0.0023499999999999997,0.0023499999999999997,0.030050000000000004,0.049409007276001816,0.941265109800403
refcoco,groundingdino,clean_eligible,21,40,0.8559118236472947,0.8582665330661322,-0.002354709418837675,0.002354709418837675,0.03011022044088177,0.0494584905205278,0.9408807123865611
refcoco,groundingdino,full_manifest,22,40,0.8569500000000001,0.8538,0.0031500000000000013,0.0031500000000000013,0.031450000000000006,0.053909646632119564,0.9462519812581215
refcoco,groundingdino,clean_eligible,22,40,0.8586673346693388,0.8555110220440881,0.003156312625250502,0.003156312625250502,0.03151302605210421,0.05396363727823202,0.9459011287017938
refcoco,groundingdino,full_manifest,23,40,0.8572000000000001,0.85355,0.003649999999999998,0.003649999999999998,0.031549999999999995,0.05226136240091718,0.9561166961888684
refcoco,groundingdino,clean_eligible,23,40,0.8589178356713427,0.8552605210420843,0.0036573146292585147,0.0036573146292585147,0.03161322645290581,0.05231370228624416,0.9558314071425111
refcoco,groundingdino,full_manifest,24,40,0.8549999999999999,0.85575,-0.00075,0.00075,0.028950000000000004,0.047867003248584505,0.9515258474403786
refcoco,groundingdino,clean_eligible,24,40,0.8567134268537074,0.8574649298597194,-0.000751503006012024,0.000751503006012024,0.02900801603206413,0.04791494217221527,0.9512096888159705
refcoco,groundingdino,full_manifest,25,40,0.85605,0.8547,0.0013499999999999988,0.0013499999999999988,0.02895,0.049862310415783984,0.9471181374101522
refcoco,groundingdino,clean_eligible,25,40,0.8577655310621242,0.8564128256513026,0.001352705410821642,0.001352705410821642,0.029008016032064127,0.049912247644539706,0.9467724389372727
refcoco,groundingdino,full_manifest,26,40,0.8553,0.8554499999999999,-0.0001499999999999988,0.0001499999999999988,0.030850000000000002,0.053021222166223216,0.9443759592468389
refcoco,groundingdino,clean_eligible,26,40,0.8570140280561122,0.8571643286573145,-0.0001503006012024036,0.0001503006012024036,0.03091182364729459,0.05307432305300813,0.9440121207511845
refcoco,groundingdino,full_manifest,27,40,0.8545999999999999,0.85615,-0.0015499999999999997,0.0015499999999999997,0.030950000000000002,0.0514902903468217,0.9454077787733655
refcoco,groundingdino,clean_eligible,27,40,0.8563126252505009,0.8578657314629258,-0.0015531062124248495,0.0015531062124248495,0.031012024048096193,0.05154185800155544,0.9450511092707065
refcoco,groundingdino,full_manifest,28,40,0.8548499999999999,0.8559,-0.0010500000000000002,0.0010500000000000002,0.029050000000000003,0.05095341009196539,0.9521081185923622
refcoco,groundingdino,clean_eligible,28,40,0.8565631262525051,0.8576152304609218,-0.0010521042084168334,0.0010521042084168334,0.029108216432865732,0.051004440059779346,0.9517959325203443
refcoco,groundingdino,full_manifest,29,40,0.85405,0.8567,-0.002649999999999999,0.002649999999999999,0.03025,0.051925427297230785,0.9491616323731469
refcoco,groundingdino,clean_eligible,29,40,0.8557615230460921,0.8584168336673347,-0.002655310621242484,0.002655310621242484,0.03031062124248497,0.051977430742710114,0.9488304118074188
refcoco,groundingdino,full_manifest,30,40,0.85445,0.8563,-0.0018499999999999992,0.0018499999999999992,0.02725,0.047183153773354324,0.9523888843185309
refcoco,groundingdino,clean_eligible,30,40,0.8561623246492986,0.8580160320641282,-0.0018537074148296583,0.0018537074148296583,0.027304609218436873,0.047230407820023024,0.9520786834245316
refcoco,groundingdino,full_manifest,31,40,0.85715,0.8535999999999999,0.0035500000000000006,0.0035500000000000006,0.03045,0.05144171459039833,0.9559812472678901
refcoco,groundingdino,clean_eligible,31,40,0.8588677354709419,0.8553106212424849,0.0035571142284569145,0.0035571142284569145,0.03051102204408818,0.05149323359639036,0.9556947900367084
refcoco,groundingdino,full_manifest,32,40,0.8563999999999999,0.85435,0.0020500000000000015,0.0020500000000000015,0.02955,0.05080600358225394,0.9478160115653361
refcoco,groundingdino,clean_eligible,32,40,0.8581162324649299,0.856062124248497,0.0020541082164328675,0.0020541082164328675,0.02960921843687375,0.05085688592207925,0.9474752760983226
