dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,owlv2,40,paired_complete_cases,coverage_aware_operational,0.9,1.0,195,0.9705128205128205,0.9632692307692308,0.00724358974358974
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.0,0.1,4,0.0,0.22499999999999998,-0.22499999999999998
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.2,0.3,7,0.2357142857142857,0.4446428571428571,-0.2089285714285714
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.3,0.4,8,0.3333333333333333,0.34687499999999993,-0.013541666666666619
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.4,0.5,11,0.4,0.5113636363636364,-0.11136363636363633
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.5,0.6,11,0.5,0.45681818181818185,0.043181818181818155
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.6,0.7,27,0.617283950617284,0.5782407407407407,0.039043209876543306
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.7,0.8,11,0.75,0.5829545454545454,0.1670454545454546
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.8,0.9,32,0.8,0.7515625,0.04843750000000002
refcoco,yoloworld,5,paired_complete_cases,complete_case_persistence,0.9,1.0,250,1.0,0.76715,0.23285
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.0,0.1,4,0.0,0.22499999999999998,-0.22499999999999998
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.2,0.3,37,0.20000000000000004,0.37297297297297294,-0.1729729729729729
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.4,0.5,45,0.39999999999999986,0.48083333333333333,-0.08083333333333348
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.6,0.7,80,0.5999999999999999,0.58765625,0.012343749999999876
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.8,0.9,74,0.7999999999999998,0.7751689189189189,0.024831081081080897
refcoco,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.9,1.0,121,1.0,0.947004132231405,0.052995867768594995
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.0,0.1,2,0.0,0.16875,-0.16875
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.1,0.2,1,0.14285714285714285,0.2625,-0.11964285714285716
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.2,0.3,6,0.23690476190476187,0.3833333333333333,-0.14642857142857144
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.3,0.4,7,0.34047619047619043,0.3410714285714285,-0.0005952380952380931
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.4,0.5,7,0.41678004535147384,0.4446428571428571,-0.02786281179138328
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.5,0.6,20,0.5119047619047619,0.49750000000000005,0.01440476190476181
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.6,0.7,25,0.6313333333333333,0.5125,0.11883333333333335
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.7,0.8,20,0.7231349206349206,0.6562500000000001,0.06688492063492046
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.8,0.9,31,0.8327188940092168,0.7141129032258063,0.1186059907834105
refcoco,yoloworld,10,paired_complete_cases,complete_case_persistence,0.9,1.0,245,0.9918367346938776,0.7733163265306122,0.21852040816326535
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.0,0.1,2,0.0,0.16875,-0.16875
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.1,0.2,5,0.1,0.23500000000000001,-0.135
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.2,0.3,19,0.20000000000000004,0.33289473684210524,-0.1328947368421052
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.3,0.4,22,0.29999999999999993,0.36363636363636365,-0.06363636363636371
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.4,0.5,19,0.4000000000000001,0.4302631578947368,-0.030263157894736714
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.5,0.6,34,0.5,0.5466911764705882,-0.04669117647058818
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.6,0.7,51,0.6000000000000001,0.5620098039215686,0.03799019607843146
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.7,0.8,33,0.7,0.6886363636363636,0.011363636363636354
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.8,0.9,42,0.7999999999999998,0.7827380952380955,0.017261904761904368
refcoco,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.9,1.0,137,0.9635036496350365,0.941788321167883,0.021715328467153516
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.0,0.1,1,0.0,0.1375,-0.1375
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.1,0.2,1,0.18181818181818182,0.2,-0.018181818181818188
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.2,0.3,2,0.225,0.38125,-0.15624999999999997
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.3,0.4,6,0.35113960113960113,0.4166666666666667,-0.06552706552706555
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.4,0.5,16,0.43460294704006003,0.37421875,0.06038419704006004
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.5,0.6,17,0.5490748208468114,0.4698529411764706,0.07922187967034078
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.6,0.7,20,0.6309406821248926,0.5743750000000001,0.05656568212489255
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.7,0.8,28,0.7400441276989265,0.6232142857142857,0.11682984198464075
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.8,0.9,31,0.8435318518160824,0.6576612903225807,0.18587056149350167
refcoco,yoloworld,20,paired_complete_cases,complete_case_persistence,0.9,1.0,242,0.9884474767812792,0.7809400826446281,0.2075073941366511
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.0,0.1,1,0.0,0.1375,-0.1375
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.1,0.2,4,0.125,0.203125,-0.078125
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.2,0.3,18,0.23333333333333334,0.3069444444444444,-0.07361111111111107
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.3,0.4,26,0.3288461538461539,0.38557692307692304,-0.05673076923076914
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.4,0.5,26,0.4230769230769231,0.4225961538461538,0.00048076923076928457
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.5,0.6,40,0.5362500000000001,0.524375,0.01187500000000008
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.6,0.7,47,0.6127659574468087,0.6015957446808511,0.011170212765957643
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.7,0.8,34,0.7250000000000001,0.7110294117647059,0.013970588235294179
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.8,0.9,42,0.825,0.8163690476190476,0.00863095238095235
refcoco,yoloworld,20,paired_complete_cases,coverage_aware_operational,0.9,1.0,126,0.9670634920634922,0.9578373015873016,0.009226190476190554
refcoco,yoloworld,40,paired_complete_cases,complete_case_persistence,0.2,0.3,3,0.2502688172043011,0.325,-0.0747311827956989
refcoco,yoloworld,40,paired_complete_cases,complete_case_persistence,0.3,0.4,4,0.35666690829734304,0.2375,0.11916690829734305
refcoco,yoloworld,40,paired_complete_cases,complete_case_persistence,0.4,0.5,13,0.4442240491177738,0.42500000000000004,0.019224049117773756
