dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
RefCOCO,owlv2,resolution,1,0.0,0.2,0.1,0.7220761781794706,0.6841490463235964,0.7604905586154782,1549
RefCOCO,owlv2,resolution,2,0.2,0.4,0.3,0.7150274409700063,0.6752925943481873,0.7522124867044233,1567
RefCOCO,owlv2,resolution,3,0.4,0.6,0.5,0.7163002680965148,0.6732889075316928,0.7586932828346855,1492
RefCOCO,owlv2,resolution,4,0.6,0.8,0.7,0.7089353233830846,0.670815720970591,0.7475488024934516,1608
RefCOCO,owlv2,resolution,5,0.8,1.0,0.9,0.6792763819095476,0.6372333345767927,0.7178840067236784,1592
RefCOCO,owlv2,gaussian_noise,1,0.0,0.2,0.1,0.8937967914438502,0.8704160715060999,0.9161667408766181,1496
RefCOCO,owlv2,gaussian_noise,2,0.2,0.4,0.3,0.8131187335092347,0.7831508992000257,0.8421874681320731,1516
RefCOCO,owlv2,gaussian_noise,3,0.4,0.6,0.5,0.75701,0.7209938168270515,0.793117531988872,1600
RefCOCO,owlv2,gaussian_noise,4,0.6,0.8,0.7,0.6788205128205128,0.6392395493048233,0.7139952006888048,1560
RefCOCO,owlv2,gaussian_noise,5,0.8,1.0,0.9,0.6365476772616138,0.5986108399465643,0.6737523637556709,1636
RefCOCO,yoloworld,blur,1,0.0,0.2,0.1,0.5652484952708513,0.5217783777497175,0.6076042067743899,1163
RefCOCO,yoloworld,blur,2,0.2,0.4,0.3,0.3828163992869875,0.33907035849899486,0.428075789473684,1122
RefCOCO,yoloworld,blur,3,0.4,0.6,0.5,0.34194854771784233,0.2993108778086272,0.3851673724815452,1205
RefCOCO,yoloworld,blur,4,0.6,0.8,0.7,0.3041476510067114,0.260997214881737,0.3486080568432899,1192
RefCOCO,yoloworld,blur,5,0.8,1.0,0.9,0.289415061295972,0.24653702155155133,0.33513914430894304,1142
RefCOCO,yoloworld,brightness,1,0.0,0.2,0.1,0.6997530864197531,0.6601961157515415,0.7405860314201971,1134
RefCOCO,yoloworld,brightness,2,0.2,0.4,0.3,0.6784761904761905,0.6387098416508041,0.7182470981365422,1176
RefCOCO,yoloworld,brightness,3,0.4,0.6,0.5,0.6519218351741717,0.6118156174156715,0.6908602803650918,1177
RefCOCO,yoloworld,brightness,4,0.6,0.8,0.7,0.6434662045060658,0.6023513137624101,0.6826189455192172,1154
RefCOCO,yoloworld,brightness,5,0.8,1.0,0.9,0.6209230769230769,0.5789977195627591,0.664682620623273,1183
RefCOCO,yoloworld,jpeg,1,0.0,0.2,0.1,0.6629097222222222,0.6213350449655483,0.7033995723934338,1152
RefCOCO,yoloworld,jpeg,2,0.2,0.4,0.3,0.654246288209607,0.6132587024829891,0.6936916406908944,1145
RefCOCO,yoloworld,jpeg,3,0.4,0.6,0.5,0.5968734069668649,0.5541050256827109,0.6399150458429842,1177
RefCOCO,yoloworld,jpeg,4,0.6,0.8,0.7,0.47113253012048195,0.4292124505396337,0.513034959060944,1162
RefCOCO,yoloworld,jpeg,5,0.8,1.0,0.9,0.3787070707070707,0.33512548786533564,0.42065140695673064,1188
RefCOCO,yoloworld,resolution,1,0.0,0.2,0.1,0.47546712802768165,0.4303150861147209,0.5183365776240362,1156
RefCOCO,yoloworld,resolution,2,0.2,0.4,0.3,0.43605777400169926,0.3918979295629077,0.47899430774236695,1177
RefCOCO,yoloworld,resolution,3,0.4,0.6,0.5,0.4070394133822181,0.3606801931066318,0.4522653397174221,1091
RefCOCO,yoloworld,resolution,4,0.6,0.8,0.7,0.39435838150289015,0.34989214122634854,0.44077899163318673,1211
RefCOCO,yoloworld,resolution,5,0.8,1.0,0.9,0.37961312026913374,0.33611103828521866,0.42368791091672975,1189
RefCOCO,yoloworld,gaussian_noise,1,0.0,0.2,0.1,0.6873705397987191,0.6480569247775227,0.7247002039707923,1093
RefCOCO,yoloworld,gaussian_noise,2,0.2,0.4,0.3,0.598807453416149,0.5550783177586626,0.6408051314411706,1127
RefCOCO,yoloworld,gaussian_noise,3,0.4,0.6,0.5,0.553206402695872,0.5107171970278158,0.5965395702012558,1187
RefCOCO,yoloworld,gaussian_noise,4,0.6,0.8,0.7,0.5009627118644068,0.45861565110365327,0.5449465862632871,1180
RefCOCO,yoloworld,gaussian_noise,5,0.8,1.0,0.9,0.44668714632174616,0.4037806019256308,0.4877704489217702,1237
RefCOCO+,groundingdino,blur,1,0.0,0.2,0.1,0.9217824867559987,0.9075940952793612,0.9356786695886573,3209
RefCOCO+,groundingdino,blur,2,0.2,0.4,0.3,0.810989010989011,0.7863275514582587,0.8345675905244282,3185
RefCOCO+,groundingdino,blur,3,0.4,0.6,0.5,0.7600248678893379,0.7332241226539344,0.7865280418332821,3217
RefCOCO+,groundingdino,blur,4,0.6,0.8,0.7,0.7081202046035806,0.6786803022147301,0.7374239199432433,3128
RefCOCO+,groundingdino,blur,5,0.8,1.0,0.9,0.6409076970254524,0.6083461679366975,0.6729202604020373,3261
RefCOCO+,groundingdino,brightness,1,0.0,0.2,0.1,0.9829510229386237,0.9764846023352722,0.9889453414151123,3226
RefCOCO+,groundingdino,brightness,2,0.2,0.4,0.3,0.9760199314855186,0.9683003808022367,0.9835253123649514,3211
RefCOCO+,groundingdino,brightness,3,0.4,0.6,0.5,0.9536360749444268,0.940833977523043,0.9653881037109512,3149
RefCOCO+,groundingdino,brightness,4,0.6,0.8,0.7,0.9520340012143291,0.9408028850999847,0.9627390865386928,3294
RefCOCO+,groundingdino,brightness,5,0.8,1.0,0.9,0.9371794871794872,0.922782549171589,0.9506179808841099,3120
RefCOCO+,groundingdino,jpeg,1,0.0,0.2,0.1,0.9032156368221942,0.8866635063723967,0.9188332767579809,3172
RefCOCO+,groundingdino,jpeg,2,0.2,0.4,0.3,0.7814508723599632,0.7538120879560825,0.8076693015573384,3267
RefCOCO+,groundingdino,jpeg,3,0.4,0.6,0.5,0.7470418931883595,0.7180925760685286,0.7741634511498687,3127
RefCOCO+,groundingdino,jpeg,4,0.6,0.8,0.7,0.7331017056222363,0.7029964273809541,0.7606016967014121,3166
RefCOCO+,groundingdino,jpeg,5,0.8,1.0,0.9,0.7184822521419829,0.6890945035773699,0.7479209441072825,3268
RefCOCO+,groundingdino,resolution,1,0.0,0.2,0.1,0.8705013841894802,0.8505882434575046,0.8909160395124928,3251
RefCOCO+,groundingdino,resolution,2,0.2,0.4,0.3,0.8493530499075785,0.8263623293972772,0.8707056448047327,3246
RefCOCO+,groundingdino,resolution,3,0.4,0.6,0.5,0.830411220911699,0.8072913397381191,0.8544000909977251,3137
